# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	770370	771686	+							CNL06415	1317		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	770370	771686	+			ALO69706.1	hypothetical protein			CNL06415	1127		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	770386	771082	+	ALO69706.1			hypothetical protein			CNL06415	507	168	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	773892	778251	-							CNL06420	4360		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	773892	778251	-			AAW46647.2	conserved hypothetical protein			CNL06420	3274		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	773973	778211	-	AAW46647.2			conserved hypothetical protein			CNL06420	3153	1050	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	778352	781587	+							CNL06430	3236		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	778352	781587	+			AAW46648.2	hypothetical protein			CNL06430	2503		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	778425	781440	+	AAW46648.2			hypothetical protein			CNL06430	2283	760	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	780513	783083	-							CNL06440	2571		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	780513	783083	-			AAW46728.1	conserved hypothetical protein			CNL06440	2257		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	781765	783035	-	AAW46728.1			conserved hypothetical protein			CNL06440	957	318	
gene	tRNA	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	790688	790780	-							CNL06450	93		
tRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	790688	790780	-				tRNA-Glu			CNL06450	93		
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	795053	797763	+							CNL06460	2711		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	795053	797763	+			AAW46649.1	UDP-glucose 6-dehydrogenase			CNL06460	1741		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	795202	797578	+	AAW46649.1			UDP-glucose 6-dehydrogenase			CNL06460	1407	468	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	797873	799812	+							CNL06470	1940		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	797873	799812	+			AAW46650.1	conserved hypothetical protein			CNL06470	1349		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	797903	799582	+	AAW46650.1			conserved hypothetical protein			CNL06470	1089	362	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	799891	802369	+							CNL06480	2479		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	799891	802369	+			AAW46651.1	hypothetical protein			CNL06480	2162		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	800472	802264	+	AAW46651.1			hypothetical protein			CNL06480	1536	511	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	803224	808982	+							CNL06490	5759		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	803224	808982	+			AAW46652.1	ABC transporter, putative			CNL06490	4766		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	803451	808835	+	AAW46652.1			ABC transporter, putative			CNL06490	4392	1463	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	809493	811404	-							CNL06500	1912		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	809493	811404	-			AAW46653.2	conserved hypothetical protein			CNL06500	1759		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	809553	811232	-	AAW46653.2			conserved hypothetical protein			CNL06500	1527	508	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	811938	813104	+							CNL06510	1167		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	811938	813104	+			AAW46654.1	conserved hypothetical protein			CNL06510	1056		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	812088	812831	+	AAW46654.1			conserved hypothetical protein			CNL06510	744	247	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	813315	815769	-							CNL06520	2455		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	813315	815769	-			AAW46655.1	conserved hypothetical protein			CNL06520	1745		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	813315	815769	-			ALO69707.1	conserved hypothetical protein			CNL06520	2181		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	813550	815089	-	AAW46655.1			conserved hypothetical protein			CNL06520	1332	443	
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	813550	815089	-	ALO69707.1			conserved hypothetical protein			CNL06520	1332	443	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	818112	822314	+							CNL06530	4203		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	818112	822314	+			AAW46657.2	conserved hypothetical protein			CNL06530	3496		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	818172	822133	+	AAW46657.2			conserved hypothetical protein			CNL06530	3255	1084	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	822281	823912	-							CNL06540	1632		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	822281	823912	-			AAW46658.2	cytoplasm protein, putative			CNL06540	1273		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	822393	823912	-	AAW46658.2			cytoplasm protein, putative			CNL06540	1161	386	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	824022	825154	-							CNL06550	1133		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	824022	825154	-			AAW46659.1	orotidine-5'-phosphate decarboxylase, putative			CNL06550	945		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	824093	825090	-	AAW46659.1			orotidine-5'-phosphate decarboxylase, putative			CNL06550	810	269	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	825210	828737	-							CNL06555	3528		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	825210	828737	-			ALO69708.1	hypothetical protein			CNL06555	2877		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	825684	828590	-	ALO69708.1			hypothetical protein			CNL06555	2256	751	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	829041	830727	-							CNL06560	1687		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	829041	830727	-			AAW46660.1	t-SNARE, putative			CNL06560	1389		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	829132	830659	-	AAW46660.1			t-SNARE, putative			CNL06560	1230	409	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	830899	832773	+							CNL06570	1875		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	830899	832773	+			AAW46661.2	ubiquitin fusion-degradation 1-like protein, putative			CNL06570	1542		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	830973	832751	+	AAW46661.2			ubiquitin fusion-degradation 1-like protein, putative			CNL06570	1446	481	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	832997	835677	+							CNL06580	2681		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	832997	835677	+			AAW46662.1	hypothetical protein			CNL06580	2425		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	833037	834267	+	AAW46662.1			hypothetical protein			CNL06580	975	324	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	834437	836848	-							CNL06590	2412		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	834437	836848	-			AAW46663.1	hypothetical protein			CNL06590	2020		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	834504	836380	-	AAW46663.1			hypothetical protein			CNL06590	1485	494	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	837090	838782	+							CNL06600	1693		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	837090	838782	+			AAW46666.2	conserved hypothetical protein			CNL06600	1295		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	837320	838551	+	AAW46666.2			conserved hypothetical protein			CNL06600	834	277	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	838650	842977	-							CNL06610	4328		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	838650	842977	-			AAW46667.2	hypothetical protein			CNL06610	3919		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	838804	842953	-	AAW46667.2			hypothetical protein			CNL06610	3741	1246	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	843165	844803	-							CNL06620	1639		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	843165	844803	-			AAW46668.1	expressed protein			CNL06620	1202		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	843576	844609	-	AAW46668.1			expressed protein			CNL06620	597	198	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	845945	847767	-							CNL06630	1823		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	845945	847767	-			AAW46669.1	put. CPS1 protein, putative			CNL06630	1398		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	846597	847570	-	AAW46669.1			put. CPS1 protein, putative			CNL06630	549	182	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	848237	849886	+							CNL06640	1650		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	848237	849886	+			AAW46670.1	phospho-2-dehydro-3-deoxyheptonate aldolase, putative			CNL06640	1382		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	848285	849683	+	AAW46670.1			phospho-2-dehydro-3-deoxyheptonate aldolase, putative			CNL06640	1131	376	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	849997	851140	-							CNL06650	1144		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	849997	851140	-			AAW46671.1	ER to Golgi transport-related protein, putative			CNL06650	842		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	850102	850895	-	AAW46671.1			ER to Golgi transport-related protein, putative			CNL06650	492	163	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	851232	853543	+							CNL06660	2312		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	851232	853543	+			AAW46723.2	hypothetical protein			CNL06660	2064		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	851662	853373	+	AAW46723.2			hypothetical protein			CNL06660	1464	487	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	853637	856069	-							CNL06670	2433		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	853637	856069	-			AAW46727.1	Tubulin beta chain, putative			CNL06670	1512		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	853784	856063	-	AAW46727.1			Tubulin beta chain, putative			CNL06670	1359	452	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	856271	858936	-							CNL06680	2666		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	856271	858936	-			AAW46726.1	conserved hypothetical protein			CNL06680	2322		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	856488	858379	-	AAW46726.1			conserved hypothetical protein			CNL06680	1548	515	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	859082	861370	+							CNL06690	2289		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	859082	861370	+			AAW46672.1	expressed protein			CNL06690	1778		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	859273	861298	+	AAW46672.1			expressed protein			CNL06690	1515	504	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	861483	863010	-							CNL06700	1528		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	861483	863010	-			AAW46673.1	conserved hypothetical protein			CNL06700	1364		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	861514	862403	-	AAW46673.1			conserved hypothetical protein			CNL06700	726	241	
gene	tRNA	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	863067	863174	-							CNL06710	108		
tRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	863067	863174	-				tRNA-Lys			CNL06710	108		
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	865655	868042	+							CNL06720	2388		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	865655	868042	+			AAW46674.1	expressed protein			CNL06720	2075		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	865902	867430	+	AAW46674.1			expressed protein			CNL06720	1269	422	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	869636	873075	+							CNL06730	3440		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	869636	873075	+			AAW46675.1	conserved hypothetical protein			CNL06730	3177		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	869746	872912	+	AAW46675.1			conserved hypothetical protein			CNL06730	2904	967	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	873071	876213	-							CNL06740	3143		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	873071	876213	-			AAW46676.2	uroporphyrin-III C-methyltransferase, putative			CNL06740	2587		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	873203	876146	-	AAW46676.2			uroporphyrin-III C-methyltransferase, putative			CNL06740	2388	795	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	876860	878064	-							CNL06750	1205		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	876860	878064	-			AAW46677.2	hypothetical protein			CNL06750	974		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	877089	877697	-	AAW46677.2			hypothetical protein			CNL06750	378	125	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	878741	883670	-							CNL06760	4930		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	878741	883670	-			AAW46678.1	conserved hypothetical protein			CNL06760	4451		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	878870	883623	-	AAW46678.1			conserved hypothetical protein			CNL06760	4275	1424	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	884044	886854	-							CNL06770	2811		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	884044	886854	-			AAW46725.1	conserved hypothetical protein			CNL06770	2603		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	884183	886808	-	AAW46725.1			conserved hypothetical protein			CNL06770	2418	805	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	887046	889125	+							CNL06780	2080		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	887046	889125	+			AAW46679.1	expressed protein			CNL06780	1755		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	887476	888961	+	AAW46679.1			expressed protein			CNL06780	1161	386	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	889152	891009	-							CNL06790	1858		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	889152	891009	-			AAW46724.1	conserved hypothetical protein			CNL06790	1688		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	889491	890989	-	AAW46724.1			conserved hypothetical protein			CNL06790	1329	442	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	891161	894508	+							CNL06800	3348		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	891161	894508	+			AAW46680.2	mitotic chromosome condensation-related protein, putative			CNL06800	2856		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	891189	894320	+	AAW46680.2			mitotic chromosome condensation-related protein, putative			CNL06800	2640	879	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	894477	896194	-							CNL06810	1718		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	894477	896194	-			AAW46681.1	hypothetical protein			CNL06810	1380		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	894710	896130	-	AAW46681.1			hypothetical protein			CNL06810	1083	360	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	899241	901117	+							CNL06820	1877		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	899241	901117	+			AAW46682.1	conserved hypothetical protein			CNL06820	1474		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	899466	900969	+	AAW46682.1			conserved hypothetical protein			CNL06820	1101	366	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	901827	903893	+							CNL06830	2067		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	901827	903893	+			AAW46683.1	conserved hypothetical protein			CNL06830	1662		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	901827	903866	+			ALO69709.1	conserved hypothetical protein			CNL06830	1581		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	902306	903811	+	AAW46683.1			conserved hypothetical protein			CNL06830	1101	366	
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	902306	903811	+	ALO69709.1			conserved hypothetical protein			CNL06830	1101	366	
gene	pseudogene	GCA_000091045.1	Primary Assembly	chromosome	12	AE017352.1	904323	906062	-							CNL06840	1740		pseudo
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	213	2368	-							CNM00010	2156		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	213	2368	-			AAW46878.1	transporter, putative			CNM00010	1341		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	279	2368	-	AAW46878.1			transporter, putative			CNM00010	1275	424	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	2815	4183	-							CNM00020	1369		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	2815	4183	-			AAW46875.1	expressed protein			CNM00020	936		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	2953	3940	-	AAW46875.1			expressed protein			CNM00020	606	201	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	5192	7793	+							CNM00030	2602		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	5192	7793	+			AAW46876.2	multidrug transporter, putative			CNM00030	2023		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	5230	7494	+	AAW46876.2			multidrug transporter, putative			CNM00030	1686	561	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	8073	10578	-							CNM00040	2506		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	8073	10578	-			AAW46873.1	expressed protein			CNM00040	1882		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	8243	10429	-	AAW46873.1			expressed protein			CNM00040	1563	520	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	12166	15436	+							CNM00050	3271		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	12166	15436	+			AAW46855.2	amino acid transporter, putative			CNM00050	2600		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	12222	15271	+	AAW46855.2			amino acid transporter, putative			CNM00050	2379	792	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	14954	17136	-							CNM00060	2183		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	14954	17136	-			ALO60834.1	expressed protein			CNM00060	1839		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	16280	17098	-	ALO60834.1			expressed protein			CNM00060	528	175	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	17322	18820	+							CNM00070	1499		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	17322	18820	+			AAW46874.1	Rho GTPase, putative			CNM00070	950		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	17359	18507	+	AAW46874.1			Rho GTPase, putative			CNM00070	600	199	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	18901	19957	-							CNM00080	1057		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	18901	19957	-			AAW46872.2	peptide alpha-N-acetyltransferase, putative			CNM00080	977		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	19042	19928	-	AAW46872.2			peptide alpha-N-acetyltransferase, putative			CNM00080	807	268	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	20386	22314	+							CNM00090	1929		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	20386	22314	+			AAW46870.1	glycoprotein, putative			CNM00090	1474		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	20423	22083	+	AAW46870.1			glycoprotein, putative			CNM00090	1206	401	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	22713	24843	+							CNM00100	2131		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	22713	24843	+			AAW46868.1	expressed protein			CNM00100	1873		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	22752	24692	+	AAW46868.1			expressed protein			CNM00100	1683	560	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	24736	27004	-							CNM00110	2269		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	24736	27004	-			AAW46863.1	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase, putative			CNM00110	1762		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	24963	26906	-	AAW46863.1			tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase, putative			CNM00110	1437	478	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	27192	28797	+							CNM00120	1606		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	27192	28797	+			AAW46866.2	hypothetical protein			CNM00120	1606		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	27622	28551	+	AAW46866.2			hypothetical protein			CNM00120	930	309	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	28722	30480	-							CNM00130	1759		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	28722	30480	-			AAW46864.2	hypothetical protein			CNM00130	1444		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	28893	30185	-	AAW46864.2			hypothetical protein			CNM00130	978	325	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	30640	33825	+							CNM00140	3186		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	30640	33825	+			AAW46862.2	hypothetical protein			CNM00140	3027		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	30656	33718	+	AAW46862.2			hypothetical protein			CNM00140	2904	967	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	33956	35649	-							CNM00150	1694		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	33956	35649	-			AAW46871.1	hypothetical protein			CNM00150	1574		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	34034	35575	-	AAW46871.1			hypothetical protein			CNM00150	1422	473	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	35808	36987	+							CNM00160	1180		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	35808	36987	+			AAW46860.2	conserved hypothetical protein			CNM00160	1010		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	35860	36899	+	AAW46860.2			conserved hypothetical protein			CNM00160	870	289	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	37127	38915	+							CNM00170	1789		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	37127	38915	+			AAW46858.1	asparaginase, putative			CNM00170	1513		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	37222	38682	+	AAW46858.1			asparaginase, putative			CNM00170	1185	394	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	38917	41755	+							CNM00180	2839		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	38917	41755	+			AAW46856.1	cyclohydrolase, putative			CNM00180	2013		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	39119	41570	+	AAW46856.1			cyclohydrolase, putative			CNM00180	1689	562	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	41583	43884	-							CNM00190	2302		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	41583	43884	-			AAW46854.2	expressed protein			CNM00190	2194		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	42079	42886	-	AAW46854.2			expressed protein			CNM00190	759	252	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	43889	45234	-							CNM00200	1346		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	43889	45234	-			AAW46926.1	hypothetical protein			CNM00200	1274		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	44027	45184	-	AAW46926.1			hypothetical protein			CNM00200	1086	361	
gene	pseudogene	GCA_000091045.1	Primary Assembly	chromosome	13	AE017353.1	48288	50302	+							CNM00210	2015		pseudo
